DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2020-11-01,"08","3","001",10
2020-11-01,"09","1","001",113
2020-11-01,"09","2","001",19
2020-11-01,"09","3","001",1
2020-11-01,"11","1","001",294
2020-11-01,"11","2","001",19
2020-11-01,"11","3","001",4
2020-11-01,"12","1","001",934
2020-11-01,"12","2","001",234
2020-11-01,"12","3","001",55
2020-11-01,"13","1","001",188
2020-11-01,"13","2","001",428
2020-11-01,"13","3","001",185
2020-11-01,"14","1","001",966
2020-11-01,"14","2","001",646
2020-11-01,"14","3","001",144
2020-11-01,"15","1","001",1432
2020-11-01,"15","2","001",1202
2020-11-01,"15","3","001",435
2020-11-01,"16","1","001",1733
2020-11-01,"16","2","001",2025
2020-11-01,"16","3","001",765
2020-11-01,"17","1","001",423
2020-11-01,"17","2","001",100
2020-11-01,"17","3","001",28
2020-12-01,"01","1","001",502
2020-12-01,"01","2","001",77
2020-12-01,"01","3","001",22
2020-12-01,"02","1","001",570
2020-12-01,"02","2","001",97
2020-12-01,"02","3","001",18
2020-12-01,"03","1","001",964
2020-12-01,"03","2","001",633
2020-12-01,"03","3","001",151
2020-12-01,"04","1","001",629
2020-12-01,"04","2","001",118
2020-12-01,"04","3","001",49
2020-12-01,"05","1","001",677
2020-12-01,"05","2","001",272
2020-12-01,"05","3","001",90
2020-12-01,"06","1","001",442
2020-12-01,"06","2","001",1326
2020-12-01,"06","3","001",1550
2020-12-01,"07","1","001",743
2020-12-01,"07","2","001",520
2020-12-01,"07","3","001",174
2020-12-01,"08","1","001",242
2020-12-01,"08","2","001",80
2020-12-01,"08","3","001",9
2020-12-01,"09","1","001",138
2020-12-01,"09","2","001",15
2020-12-01,"09","3","001",2
2020-12-01,"11","1","001",274
2020-12-01,"11","2","001",15
2020-12-01,"11","3","001",4
2020-12-01,"12","1","001",929
2020-12-01,"12","2","001",205
2020-12-01,"12","3","001",64
2020-12-01,"13","1","001",152
2020-12-01,"13","2","001",437
2020-12-01,"13","3","001",235
2020-12-01,"14","1","001",949
2020-12-01,"14","2","001",654
2020-12-01,"14","3","001",147
2020-12-01,"15","1","001",1337
2020-12-01,"15","2","001",1237
2020-12-01,"15","3","001",441
2020-12-01,"16","1","001",1727
2020-12-01,"16","2","001",1939
2020-12-01,"16","3","001",839
2020-12-01,"17","1","001",417
2020-12-01,"17","2","001",103
2020-12-01,"17","3","001",60
2021-01-01,"01","1","001",240
2021-01-01,"01","2","001",29
2021-01-01,"01","3","001",6
2021-01-01,"02","1","001",298
2021-01-01,"02","2","001",48
2021-01-01,"02","3","001",16
2021-01-01,"03","1","001",497
2021-01-01,"03","2","001",295
2021-01-01,"03","3","001",84
2021-01-01,"04","1","001",345
2021-01-01,"04","2","001",59
2021-01-01,"04","3","001",18
2021-01-01,"05","1","001",431
2021-01-01,"05","2","001",148
2021-01-01,"05","3","001",51
2021-01-01,"06","1","001",235
2021-01-01,"06","2","001",793
2021-01-01,"06","3","001",942
2021-01-01,"07","1","001",444
2021-01-01,"07","2","001",308
2021-01-01,"07","3","001",90
2021-01-01,"08","1","001",131
2021-01-01,"08","2","001",49
2021-01-01,"08","3","001",4
2021-01-01,"09","1","001",69
2021-01-01,"09","2","001",7
2021-01-01,"09","3","001",1
2021-01-01,"11","1","001",152
2021-01-01,"11","2","001",15
2021-01-01,"12","1","001",464
2021-01-01,"12","2","001",115
2021-01-01,"12","3","001",21
2021-01-01,"13","1","001",78
2021-01-01,"13","2","001",248
2021-01-01,"13","3","001",103
2021-01-01,"14","1","001",610
2021-01-01,"14","2","001",360
2021-01-01,"14","3","001",77
2021-01-01,"15","1","001",846
2021-01-01,"15","2","001",688
2021-01-01,"15","3","001",245
2021-01-01,"16","1","001",1022
2021-01-01,"16","2","001",1102
2021-01-01,"16","3","001",475
2021-01-01,"17","1","001",302
2021-01-01,"17","2","001",88
2021-01-01,"17","3","001",36
2021-02-01,"01","1","001",327
2021-02-01,"01","2","001",41
2021-02-01,"01","3","001",7
2021-02-01,"02","1","001",419
2021-02-01,"02","2","001",71
2021-02-01,"02","3","001",18
2021-02-01,"03","1","001",698
2021-02-01,"03","2","001",396
2021-02-01,"03","3","001",142
2021-02-01,"04","1","001",503
2021-02-01,"04","2","001",98
2021-02-01,"04","3","001",24
2021-02-01,"05","1","001",524
2021-02-01,"05","2","001",170
2021-02-01,"05","3","001",88
2021-02-01,"06","1","001",269
2021-02-01,"06","2","001",891
2021-02-01,"06","3","001",1037
2021-02-01,"07","1","001",572
2021-02-01,"07","2","001",324
2021-02-01,"07","3","001",99
2021-02-01,"08","1","001",190
2021-02-01,"08","2","001",45
2021-02-01,"08","3","001",11
2021-02-01,"09","1","001",95
2021-02-01,"09","2","001",15
2021-02-01,"09","3","001",3
2021-02-01,"11","1","001",215
2021-02-01,"11","2","001",12
2021-02-01,"11","3","001",1
2021-02-01,"12","1","001",652
2021-02-01,"12","2","001",147
2021-02-01,"12","3","001",47
2021-02-01,"13","1","001",111
2021-02-01,"13","2","001",286
2021-02-01,"13","3","001",186
2021-02-01,"14","1","001",845
2021-02-01,"14","2","001",423
2021-02-01,"14","3","001",130
2021-02-01,"15","1","001",1196
2021-02-01,"15","2","001",820
2021-02-01,"15","3","001",302
2021-02-01,"16","1","001",1235
2021-02-01,"16","2","001",1301
2021-02-01,"16","3","001",530
2021-02-01,"17","1","001",370
2021-02-01,"17","2","001",91
2021-02-01,"17","3","001",40
2021-03-01,"01","1","001",419
2021-03-01,"01","2","001",53
2021-03-01,"01","3","001",11
2021-03-01,"02","1","001",527
2021-03-01,"02","2","001",91
2021-03-01,"02","3","001",16
2021-03-01,"03","1","001",928
2021-03-01,"03","2","001",527
2021-03-01,"03","3","001",177
2021-03-01,"04","1","001",667
2021-03-01,"04","2","001",94
2021-03-01,"04","3","001",34
2021-03-01,"05","1","001",616
2021-03-01,"05","2","001",234
2021-03-01,"05","3","001",91
2021-03-01,"06","1","001",341
